customer_key,customer_unique_id,total_spend,order_cnt,avg_order_value,avg_review_score,order_cancelled_cnt,avg_day_return_to_buy,cluster
37677,ecb876c352cd60c4b9d83ef6f52e19a5,189.9,1,189.9,4.0,0,0.0,0
37678,c7cc16762ed76df489e315d56eb1a031,196.0,1,196.0,5.0,0,0.0,0
37679,c5603214b76d2ede1eb146a043248ef7,59.8,1,59.8,3.0,0,0.0,0
37680,3dd8bad00a85a50913d473d27f26ecc8,19.9,1,19.9,5.0,0,0.0,0
37681,7a773eaab5f2b50df2816eb00848283a,52.5,1,52.5,1.0,0,0.0,0
37682,bb0b33b8f223581965edf90caccedcfc,79.9,1,79.9,1.0,0,0.0,0
37683,8d7f6504c42ffb20375cb6c48668601f,42.9,1,42.9,5.0,0,0.0,0
37685,be825ddd3b40db3f91bf05b4e9435d56,2920.0,1,2920.0,5.0,0,0.0,2
37686,bf087cbc0138d7066e1c41d1a97973dd,320.0,2,160.0,3.5,0,5.0,0
37687,72c4723cc696a1935b38ed1e0c7b5ec5,64.9,1,64.9,3.0,0,0.0,0
37688,e169f767996e4dcd26af717fdfa1bf42,19.99,1,19.99,5.0,0,0.0,0
37689,65dbc5e7a91de6063361adf52a6f7a28,59.9,1,59.9,5.0,0,0.0,0
37690,f83f2c09f23150c0ab6e07007f4b09ed,132.82,1,132.82,5.0,0,0.0,0
37691,03860720a9bb240fe64390835d7c1b7a,159.9,1,159.9,2.0,0,0.0,0
37692,e8483e60474d65f883faaed50a031572,169.0,1,169.0,4.0,0,0.0,0
37693,e6a62223a75ff54ef03810f253527b61,52.9,1,52.9,3.0,0,0.0,0
37694,7297b46c1b392066b37a0bdf9e8ad7d3,129.0,1,129.0,5.0,0,0.0,0
37695,4e645a53f570db099324b8427b360c60,269.9,1,269.9,5.0,0,0.0,0
37696,9bb5ee90bbf9e5dec4a866a9d1117328,64.98,2,32.49,4.5,0,310.0,1
37697,204e4eb7fab7250655e67b221ded1fbc,27.9,1,27.9,5.0,0,0.0,0
37698,23a944d718f96d95c768d97f07b330fb,53.99,1,53.99,1.0,0,0.0,0
37699,0d3d43563fe92330212a73663452e4ae,54.88,1,54.88,4.0,0,0.0,0
37700,cbaee27af18aa78ab01b6941a8f80113,110.9,1,110.9,1.0,0,0.0,0
37701,9832ff65bf1a5ab9ad1c6ca07fff62df,229.99,1,229.99,0.0,0,0.0,0
